Isolate,Host,Leukocidin (lukD),Leukocidin (lukE),Leukocidin (lukF-like),Leukocidin (lukF-PV),Leukocidin (lukG),Leukocidin (lukH),Leukocidin (lukM),Leukocidin (lukS-PV),Staphylococcal protein A (spa),Superantigen protein (set16),Superantigen protein (set19),Superantigen protein (set21),Superantigen protein (set26),Superantigen protein (set31),Superantigen protein (set32),Superantigen protein (set34),Superantigen protein (set36),Superantigen protein (set37),Superantigen protein (set39),Toxic shock syndrome (tsst-1)
B1823_S8_L001,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1824_S5_L001,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1825_S6_L001,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1826_S7_L001,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1830_S8_L001,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1831_S745,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B1864_S746,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1865_S747,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B1873_S748,Bovine,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
B1874_S749,Bovine,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
B1890_S750,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B247_S101,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B248_S102,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B253_S103,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B254_S104,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B257_S105,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B261_S107,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B271_S109,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B272_S110,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B277_S111,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B285_S113,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B286_S114,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B291_S115,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B294_S117,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B296_S118,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B299_S119,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B300_S120,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B310_S123,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B312_S124,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B313_S125,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B318_S126,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B333_S127,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B339_S133,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B340_S134,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B346_S135,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B350_S136,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B354_S137,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B356_S138,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B368_S139,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B385_S142,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B386_S143,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B389_S145,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B393_S146,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B401_S148,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B402_S149,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B409_S150,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B410_S151,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B414_S153,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B455_S157,Bovine,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
B457_S158,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B460_S159,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B482_S161,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B486_S162,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B497_S163,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B513_S3,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B514_S4,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B531_S21,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B556_S46,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B565_S55,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B566_S56,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B591_S81,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B592_S82,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B610_S166,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B611_S167,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B677_S173,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B680_S175,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B682_S176,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B684_S177,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B691_S178,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B692_S179,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B701_S180,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B702_S181,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B703_S182,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B705_S184,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B709_S674,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B711_S676,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B712_S677,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B715_S678,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B716_S679,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B719_S680,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B721_S682,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B725_S685,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B727_S686,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B728_S687,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B730_S689,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B733_S691,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B741_S693,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B743_S694,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B763_S697,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B772_S698,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B777_S699,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B778_S700,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B779_S701,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B780_S702,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B783_S703,Bovine,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
B785_S704,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B786_S705,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B788_S707,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B789_S708,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B790_S709,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B793_S712,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B794_S713,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B796_S715,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B801_S716,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B814_S725,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B819_S726,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B820_S727,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B824_S728,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B825_S729,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B826_S730,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B834_S731,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B835_S732,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B839_S734,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B840_S735,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B841_S736,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B842_S737,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B843_S738,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B844_S739,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B845_S740,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B846_S741,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B847_S742,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B848_S743,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B849_S744,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B852_S747,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B859_S748,Bovine,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
B872_S749,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B875_S751,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B879_S754,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B880_S755,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B882_S757,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B887_S758,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B898_S761,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B899_S762,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B900_S763,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B903_S387,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B904_S388,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B908_S390,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B909_S391,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B916_S394,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B917_S395,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B918_S396,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B921_S397,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B922_S398,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B923_S399,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B925_S401,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B928_S403,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B931_S404,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B935_S407,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B936_S408,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B949_S579,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B972_S413,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B973_S414,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B974_S415,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B977_S416,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B978_S417,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
B989_S420,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B990_S421,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B995_S423,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B996_S424,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B997_S425,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B998_S426,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
B999_S427,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
BOV89_S612,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
BOV94_S636,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
BOV95_S648,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
BOV9_S609,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
ERR10438786,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
ERR10438787,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
ERR1201311,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
ERR1201312,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
ERR1201313,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
ERR1201314,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
ERR1201315,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
ERR1201316,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
H0736_S330,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
H1077_S296,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
H1820_S687,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
H2055_S310,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
H4498_S333,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
H5497_S381,Human,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0
H5731_S350,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
H8195_S291,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
H8815_S331,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
K563,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K569,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K570,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K573,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K575,Bovine,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
K576,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K577,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K578,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K579,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K580,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
K591,Bovine,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
K597,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K606,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K607,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K610,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K613,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K614,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K618,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K621,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K622,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
K623,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K624,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K625,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K626,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
K628,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K630,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
K631,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
K632,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K633,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K634,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
K638,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K644,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K648,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K652,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K654,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K655,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K661,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K673,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K674,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K675,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
K676,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
LIC156_S344,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
LIC176_S364,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
LIC245_S247,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
LIC565_S474,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
LIC575_S484,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
LIC650_S559,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
LIC651_S560,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
LIC652_S561,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
LIC673_S677,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
LIC683_S687,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
LIC684_S688,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
LIC685_S689,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
LIC686_S690,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
LIC687_S691,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
LICB1596_S616,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
LICB1629_S640,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
LICB1631_S652,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
LICB1653_S664,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
LICB1656_S581,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
LICB1676_S593,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
LICB1677_S605,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
LICB1752_S641,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701032,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701033,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701034,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701038,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701043,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701044,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701045,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701046,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701047,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701048,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701049,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701050,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701051,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701052,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701053,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701054,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701055,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701056,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701057,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701058,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701059,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701060,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701061,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701062,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701063,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
