Group	Host	Autolysin (aaa) -VFG043452	Autolysin (atl) - VFG004482	Clumping factor (clfA(1)) - VFG001289 	Clumping factor (clfA(2)) - VFG004638 	Clumping factor (clfA(3)) - VFG004639 	Clumping factor (clfB) - VFG001290 	Collagen adhesion precusor (cna) - VFG001291 	Elastin binding protein (ebp) - VFG001278	Extracellular adherence protein (eap/map) - VFG017229	Extracellular matrix binding protein adhesion (emp) - VFG043451	Fibronectin-binding protein A (fnbA) - VFG001283 	Fibronectin-binding protein B (fnbB) - VFG001282 	Fibronectin-binding protein  (efb) - VFG004491 	Serine-Rich Repeat glycoprotein adhesion (sasA) - VFG043589	LPXTG-anchored repetitive surface protein (sasC) -VFG043587	Ser-Asp rich fibrinogen binding protein (sdrC) - VFG001279 	Ser-Asp rich fibrinogen binding protein (sdrD) - VFG001280 	Ser-Asp rich fibrinogen binding protein (sdrE) - VFG004586	Count	Isolate																																																																																																																																																																						
Group11_Bov_(4/328=1.2%)	Bovine	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	4	B1231_S40	B1405_S227	SRR20727512	SRR20727601																																																																																																																																																																			
Group12_Bov_(1/328=0.3%)	Bovine	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	B1254_S46																																																																																																																																																																						
Group13_Bov_(1/328=0.3%)	Bovine	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	B1436_S238																																																																																																																																																																						
Group14_Bov_(1/328=0.3%)	Bovine	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	B1890_S750																																																																																																																																																																						
Group15_Bov_(1/328=0.3%)	Bovine	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	B248_S102																																																																																																																																																																						
Group16_Bov_(1/328=0.3%)	Bovine	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	B277_S111																																																																																																																																																																						
Group17_Bov_(5/328=1.5%)	Bovine	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	5	B385_S142	B591_S81	B592_S82	B691_S178	SRR20727560																																																																																																																																																																		
Group18_Bov_(1/328=0.3%)	Bovine	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	B457_S158																																																																																																																																																																						
Group19_Bov_(1/328=0.3%)	Bovine	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	B872_S749																																																																																																																																																																						
Group20_Bov_(1/328=0.3%)	Bovine	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	C315_59																																																																																																																																																																						
